modelo,nivel,semilla,banco,protocolo,acierto,rechazo,error,error_hacia_menos_presenciado,saltos_media,consultas_en_rechazo,n,persp_divergencia_jaccard,persp_conocidos_por_agente,persp_entropia_media
azar,0.03125,44,texto_reservado,directo,0.2894736842105263,0.5899122807017544,0.1206140350877193,0.22424242424242424,0.0,1.0,1368,0.8012663128932308,7.0,0.9410046537107395
azar,0.03125,44,texto_reservado,encadenado,0.7923976608187134,0.0,0.20760233918128654,0.0,1.8289473684210527,nan,1368,0.8012663128932308,7.0,0.9410046537107395
azar,0.03125,44,texto_reservado,agregado,0.8845029239766082,0.06067251461988304,0.05482456140350877,0.0,6.057587548638132,6.108433734939759,1368,0.8012663128932308,7.0,0.9410046537107395
azar,0.03125,44,texto_reservado,pizarron,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,171,0.8012663128932308,7.0,0.9410046537107395
azar,0.03125,44,imagen_test,directo,0.10234375,0.89765625,0.0,nan,0.0,1.0,1280,0.7030155182950585,8.0,1.175880574945928
azar,0.03125,44,imagen_test,encadenado,0.81875,0.18125,0.0,nan,3.4933206106870225,8.0,1280,0.7030155182950585,8.0,1.175880574945928
azar,0.03125,44,imagen_test,agregado,0.81875,0.18125,0.0,nan,7.0,8.0,1280,0.7030155182950585,8.0,1.175880574945928
azar,0.03125,44,imagen_test,pizarron,0.81875,0.18125,0.0,nan,0.0,1.0,160,0.7030155182950585,8.0,1.175880574945928
azar,0.0625,42,texto_formacion,directo,0.6,0.2015625,0.1984375,0.17060367454068243,0.0,1.0,1920,0.5868358248816141,8.0,1.7354496179335352
azar,0.0625,42,texto_formacion,encadenado,0.7817708333333333,0.0,0.21822916666666667,0.0,0.4078124999999999,nan,1920,0.5868358248816141,8.0,1.7354496179335352
azar,0.0625,42,texto_formacion,agregado,0.9,0.0,0.1,0.0,7.0,nan,1920,0.5868358248816141,8.0,1.7354496179335352
azar,0.0625,42,texto_formacion,pizarron,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,240,0.5868358248816141,8.0,1.7354496179335352
azar,0.0625,42,texto_reservado,directo,0.45760233918128657,0.42616959064327486,0.1162280701754386,0.1509433962264151,0.0,1.0,1368,0.5868358248816141,8.0,1.7354496179335352
